state,month,year,tax type,value,fips state,numeric month,note,id
Delaware,May,2020,motor fuel,,10,5,,10_2020_5
Delaware,May,2021,motor fuel,,10,5,,10_2021_5
Delaware,November,2019,motor fuel,,10,11,,10_2019_11
Delaware,November,2020,motor fuel,,10,11,,10_2020_11
Delaware,November,2021,motor fuel,,10,11,,10_2021_11
Delaware,October,2019,motor fuel,,10,10,,10_2019_10
Delaware,October,2020,motor fuel,,10,10,,10_2020_10
Delaware,October,2021,motor fuel,,10,10,,10_2021_10
Delaware,September,2019,motor fuel,13540926,10,9,,10_2019_9
Delaware,September,2020,motor fuel,11201693,10,9,,10_2020_9
Delaware,September,2021,motor fuel,,10,9,,10_2021_9
District of Columbia,April,2019,motor fuel,2248907,11,4,,11_2019_4
District of Columbia,April,2020,motor fuel,1775376,11,4,,11_2020_4
District of Columbia,April,2021,motor fuel,1924699,11,4,,11_2021_4
District of Columbia,April,2022,motor fuel,1907737,11,4,,11_2022_4
District of Columbia,August,2019,motor fuel,1860601,11,8,,11_2019_8
District of Columbia,August,2020,motor fuel,1973052,11,8,,11_2020_8
District of Columbia,August,2021,motor fuel,2254177,11,8,,11_2021_8
District of Columbia,December,2019,motor fuel,2609363,11,12,,11_2019_12
District of Columbia,December,2020,motor fuel,1537570,11,12,,11_2020_12
District of Columbia,December,2021,motor fuel,2421486,11,12,,11_2021_12
District of Columbia,February,2020,motor fuel,1283208,11,2,,11_2020_2
District of Columbia,February,2021,motor fuel,1488019,11,2,,11_2021_2
District of Columbia,February,2022,motor fuel,1689147,11,2,,11_2022_2
District of Columbia,January,2020,motor fuel,2181808,11,1,,11_2020_1
District of Columbia,January,2021,motor fuel,1923169,11,1,,11_2021_1
District of Columbia,January,2022,motor fuel,2015884,11,1,,11_2022_1
District of Columbia,July,2019,motor fuel,2467216,11,7,,11_2019_7
District of Columbia,July,2020,motor fuel,1723799,11,7,,11_2020_7
District of Columbia,July,2021,motor fuel,2059586,11,7,,11_2021_7
District of Columbia,June,2019,motor fuel,19435772,11,6,,11_2019_6
District of Columbia,June,2020,motor fuel,1421660,11,6,,11_2020_6
District of Columbia,June,2021,motor fuel,1993297,11,6,,11_2021_6
District of Columbia,March,2020,motor fuel,2865079,11,3,,11_2020_3
District of Columbia,March,2021,motor fuel,1962694,11,3,,11_2021_3
District of Columbia,March,2022,motor fuel,1734440,11,3,,11_2022_3
District of Columbia,May,2019,motor fuel,2688790,11,5,,11_2019_5
District of Columbia,May,2020,motor fuel,1126278,11,5,,11_2020_5
District of Columbia,May,2021,motor fuel,1947170,11,5,,11_2021_5
District of Columbia,November,2019,motor fuel,1560991,11,11,,11_2019_11
District of Columbia,November,2020,motor fuel,2403443,11,11,,11_2020_11
District of Columbia,November,2021,motor fuel,1614613,11,11,,11_2021_11
District of Columbia,October,2019,motor fuel,1721063,11,10,,11_2019_10
District of Columbia,October,2020,motor fuel,1532386,11,10,,11_2020_10
District of Columbia,October,2021,motor fuel,2103633,11,10,,11_2021_10
District of Columbia,September,2019,motor fuel,-13781900,11,9,,11_2019_9
District of Columbia,September,2020,motor fuel,2484152,11,9,,11_2020_9
District of Columbia,September,2021,motor fuel,2025151,11,9,,11_2021_9
Florida,April,2019,motor fuel,268793456,12,4,,12_2019_4
Florida,April,2020,motor fuel,233287140,12,4,,12_2020_4
Florida,April,2021,motor fuel,266148162,12,4,,12_2021_4
Florida,April,2022,motor fuel,286028441,12,4,,12_2022_4
Florida,August,2019,motor fuel,247028809,12,8,,12_2019_8
Florida,August,2020,motor fuel,225194661,12,8,,12_2020_8
Florida,August,2021,motor fuel,253737255,12,8,,12_2021_8
Florida,December,2019,motor fuel,241508085,12,12,,12_2019_12
Florida,December,2020,motor fuel,223222199,12,12,,12_2020_12
Florida,December,2021,motor fuel,250858716,12,12,,12_2021_12
Florida,February,2020,motor fuel,249607224,12,2,,12_2020_2
Florida,February,2021,motor fuel,233686829,12,2,,12_2021_2
Florida,February,2022,motor fuel,255514307,12,2,,12_2022_2
Florida,January,2020,motor fuel,243894439,12,1,,12_2020_1
Florida,January,2021,motor fuel,234635545,12,1,,12_2021_1
Florida,January,2022,motor fuel,256248266,12,1,,12_2022_1
Florida,July,2020,motor fuel,218822217,12,7,,12_2020_7
Florida,July,2021,motor fuel,255019506,12,7,,12_2021_7
Florida,June,2019,motor fuel,261390695,12,6,,12_2019_6
Florida,June,2020,motor fuel,193734735,12,6,,12_2020_6
Florida,June,2021,motor fuel,268836684,12,6,,12_2021_6
Florida,March,2020,motor fuel,241344847,12,3,,12_2020_3
Florida,March,2021,motor fuel,220915599,12,3,,12_2021_3
Florida,March,2022,motor fuel,250817067,12,3,,12_2022_3
Florida,May,2019,motor fuel,256436763,12,5,,12_2019_5
Florida,May,2020,motor fuel,156950539,12,5,,12_2020_5
Florida,May,2021,motor fuel,263075113,12,5,,12_2021_5
Florida,November,2019,motor fuel,253008081,12,11,,12_2019_11
Florida,November,2020,motor fuel,235502249,12,11,,12_2020_11
Florida,November,2021,motor fuel,260973519,12,11,,12_2021_11
Florida,October,2019,motor fuel,220666501,12,10,,12_2019_10
Florida,October,2020,motor fuel,218870878,12,10,,12_2020_10
Florida,October,2021,motor fuel,241687796,12,10,,12_2021_10
Florida,September,2019,motor fuel,260821820,12,9,,12_2019_9
Florida,September,2020,motor fuel,224653761,12,9,,12_2020_9
Florida,September,2021,motor fuel,256593460,12,9,,12_2021_9
Georgia,April,2019,motor fuel,157901000,13,4,,13_2019_4
Georgia,April,2020,motor fuel,238227000,13,4,,13_2020_4
Georgia,April,2021,motor fuel,173458000,13,4,,13_2021_4
Georgia,April,2022,motor fuel,104868000,13,4,,13_2022_4
Georgia,August,2019,motor fuel,156134000,13,8,,13_2019_8
Georgia,August,2020,motor fuel,152211000,13,8,,13_2020_8
Georgia,August,2021,motor fuel,171387000,13,8,,13_2021_8
Georgia,December,2019,motor fuel,147891598,13,12,,13_2019_12
Georgia,December,2020,motor fuel,149137248,13,12,,13_2020_12
Georgia,December,2021,motor fuel,166136000,13,12,,13_2021_12
Georgia,February,2020,motor fuel,154764000,13,2,,13_2020_2
Georgia,February,2021,motor fuel,153937000,13,2,,13_2021_2
Georgia,February,2022,motor fuel,157441000,13,2,,13_2022_2
